"filename", "language", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "XML", "TypeScript React", "Docker", "Ignore", "PostCSS", "Markdown", "comment", "blank", "total"
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/Comment.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 16, 194
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/EditCoverImageModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 8, 132
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/EditProfileImageModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 8, 132
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/LastPost.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 10, 178
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/LastUpdate.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/SharedPost.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/SharedPostsModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 13, 181
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/Update.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"/home/sena/Documents/ANiStorage/web/src/components/addManga/Form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 12, 242
"/home/sena/Documents/ANiStorage/web/src/components/addManga/Header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 68
"/home/sena/Documents/ANiStorage/web/src/components/addManga/index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
